"age","production_year","powertrain","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh","n_year_powertrain","mpg","mpge","proportion","n_year","n","vmt","high_VMT_prop","vmt_bucket"
40,1984,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,528740.370800352,264370.185400176,5586.49606173846,0.853277448295608,"high"
40,1984,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,528740.370800352,0,5586.49606173846,0.853277448295608,"high"
41,1983,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,518370.435009316,0,5187.32064139628,0.85560943964061,"high"
41,1983,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,518370.435009316,0,5187.32064139628,0.85560943964061,"high"
41,1983,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,518370.435009316,259185.217504658,5187.32064139628,0.85560943964061,"high"
41,1983,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,518370.435009316,0,5187.32064139628,0.85560943964061,"high"
42,1982,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,509973.605551921,0,4785.8860641688,0.857941430985612,"high"
42,1982,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,509973.605551921,0,4785.8860641688,0.857941430985612,"high"
42,1982,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,509973.605551921,254986.80277596,4785.8860641688,0.857941430985612,"high"
42,1982,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,509973.605551921,0,4785.8860641688,0.857941430985612,"high"
43,1981,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503152.05027819,0,4382.19233005603,0.860273422330614,"high"
43,1981,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503152.05027819,0,4382.19233005603,0.860273422330614,"high"
43,1981,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,503152.05027819,251576.025139095,4382.19233005603,0.860273422330614,"high"
43,1981,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,503152.05027819,0,4382.19233005603,0.860273422330614,"high"
44,1980,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,497593.491164847,0,3976.23943905796,0.862605413675616,"high"
44,1980,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,497593.491164847,0,3976.23943905796,0.862605413675616,"high"
44,1980,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,497593.491164847,248796.745582424,3976.23943905796,0.862605413675616,"high"
44,1980,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,497593.491164847,0,3976.23943905796,0.862605413675616,"high"
45,1979,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,493051.544374752,0,3568.02739117459,0.864937405020618,"high"
45,1979,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,493051.544374752,0,3568.02739117459,0.864937405020618,"high"
45,1979,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,493051.544374752,246525.772187376,3568.02739117459,0.864937405020618,"high"
45,1979,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,493051.544374752,0,3568.02739117459,0.864937405020618,"high"
46,1978,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,489330.869815835,0,3157.55618640593,0.86726939636562,"high"
46,1978,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,489330.869815835,0,3157.55618640593,0.86726939636562,"high"
46,1978,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,489330.869815835,244665.434907918,3157.55618640593,0.86726939636562,"high"
46,1978,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,489330.869815835,0,3157.55618640593,0.86726939636562,"high"
47,1977,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,486275.888656861,0,2744.82582475196,0.869601387710622,"high"
47,1977,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,486275.888656861,0,2744.82582475196,0.869601387710622,"high"
47,1977,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,486275.888656861,243137.944328431,2744.82582475196,0.869601387710622,"high"
47,1977,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,486275.888656861,0,2744.82582475196,0.869601387710622,"high"
48,1976,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,483762.161263279,0,2329.83630621271,0.871933379055624,"high"
48,1976,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,483762.161263279,0,2329.83630621271,0.871933379055624,"high"
48,1976,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,483762.161263279,241881.08063164,2329.83630621271,0.871933379055624,"high"
48,1976,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,483762.161263279,0,2329.83630621271,0.871933379055624,"high"
49,1975,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,481689.759772386,0,1912.58763078815,0.874265370400626,"high"
49,1975,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,481689.759772386,0,1912.58763078815,0.874265370400626,"high"
49,1975,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,481689.759772386,240844.879886193,1912.58763078815,0.874265370400626,"high"
49,1975,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,481689.759772386,0,1912.58763078815,0.874265370400626,"high"
50,1974,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,479978.144720468,0,1493.0797984783,0.876597361745628,"high"
50,1974,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,479978.144720468,0,1493.0797984783,0.876597361745628,"high"
50,1974,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,17.2075256884036,NA,1,479978.144720468,239989.072360234,1493.0797984783,0.876597361745628,"high"
50,1974,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,479978.144720468,0,1493.0797984783,0.876597361745628,"high"
0,2024,"bev",0,2.69749609865701,0,4917.64705882353,290.058823529412,108.0356,17,NA,87.1956775459669,0.09,14578778.5707484,656045.035683678,6221.44498309656,0.759997794495527,"low"
0,2024,"hev",6.39238799506178,0,0,3990.26548672566,0,0,113,36.7953259692158,NA,0.1,14578778.5707484,728938.928537421,6221.44498309656,0.759997794495527,"low"
0,2024,"icev",10.116942510774,0,0,4099.1452991453,0,0,819,23.2491189654893,NA,0.79,14578778.5707484,5758617.53544562,6221.44498309656,0.759997794495527,"low"
0,2024,"phev",8.9434281935961,3.57324903231559,0.60725,4033.33333333333,33.0833333333333,16.56425,12,26.2997583150968,65.825246959509,0.02,14578778.5707484,145787.785707484,6221.44498309656,0.759997794495527,"low"
1,2023,"bev",0,2.1860126604535,0,3939.65517241379,280.396551724138,88.7110172413793,58,NA,107.597729992654,0.07,14505243.3027369,507683.515595792,6045.8704938125,0.762329785840529,"low"
1,2023,"hev",7.25618225910389,0,0,4422.72727272727,0,0,44,32.4151174269219,NA,0.075,14505243.3027369,543946.623852634,6045.8704938125,0.762329785840529,"low"
1,2023,"icev",10.850096703787,0,0,4531.16089613035,0,0,491,21.678147801015,NA,0.8375,14505243.3027369,6074070.63302108,6045.8704938125,0.762329785840529,"low"
1,2023,"phev",9.10967791762013,3.70486725466015,0.576857142857143,3857.14285714286,30.4285714285714,7.24371428571428,7,25.8197932053176,63.4867550798595,0.0175,14505243.3027369,126920.878898948,6045.8704938125,0.762329785840529,"low"
2,2022,"bev",0,1.967305034158,0,3702.49653259362,272.819694868239,70.5997808599168,721,NA,119.559496832513,0.057,14416979.2487272,410883.908588725,5872.55516141374,0.764661777185531,"low"
2,2022,"hev",6.25508979872462,0,0,4016.497829233,0,0,691,37.6029773462178,NA,0.058,14416979.2487272,418092.398213088,5872.55516141374,0.764661777185531,"low"
2,2022,"icev",10.624464051424,0,0,4289.15081703723,0,0,11199,22.1385284812061,NA,0.865,14416979.2487272,6235343.52507451,5872.55516141374,0.764661777185531,"low"
2,2022,"phev",7.84121106350167,3.19023062992133,0.563554545454546,4157.27272727273,28.2909090909091,3.07636363636364,110,29.9966418573819,73.7282119336307,0.02,14416979.2487272,144169.792487272,5872.55516141374,0.764661777185531,"low"
3,2021,"bev",0,2.20805558446467,0,3469.16058394161,292.919708029197,85.4994335766423,548,NA,106.523586478021,0.0305957645178476,14311061.5965368,218928.935304026,5701.49898590028,0.766993768530533,"low"
3,2021,"hev",5.98824929679663,0,0,3740.94063222822,0,0,1297,39.2785918458378,NA,0.0532093766648908,14311061.5965368,380741.333482289,5701.49898590028,0.766993768530533,"low"
3,2021,"icev",10.4672177268037,0,0,4374.90095846645,0,0,23475,22.4711099108688,NA,0.904643380394246,14311061.5965368,6473203.56986065,5701.49898590028,0.766993768530533,"low"
3,2021,"phev",8.55471748351844,3.51370982613818,0.526176165803109,4158.0310880829,24.9740932642487,0,193,27.4947712128608,66.9406444010525,0.0115514784230154,14311061.5965368,82656.9596214194,5701.49898590028,0.766993768530533,"low"
4,2020,"bev",0,2.04505002697808,0,3750,283.56338028169,82.8950356807512,426,NA,115.014301311525,0.016388869804191,14184027.577644,116230.090634531,5532.70196727211,0.769325759875535,"low"
4,2020,"hev",5.50154157893,0,0,3562.28070175439,0,0,798,42.7534712999017,NA,0.0312653383716936,14184027.577644,221734.210844236,5532.70196727211,0.769325759875535,"low"
4,2020,"icev",10.1613149766504,0,0,4256.9100951212,0,0,32590,23.1475946312545,NA,0.947601786327722,14184027.577644,6720404.93494854,5532.70196727211,0.769325759875535,"low"
4,2020,"phev",6.82391019532271,2.73102774003522,0.537798076923077,4090.38461538462,26.8173076923077,0,104,34.4685075371038,86.1250863738816,0.00474400549639299,14184027.577644,33644.5523946663,5532.70196727211,0.769325759875535,"low"
5,2019,"bev",0,2.11709412278972,0,3715.82089552239,248.411940298507,0,335,NA,111.100398167494,0.0137066651034644,14031807.4721221,96164.6429083333,5366.16410552925,0.771657751220537,"low"
5,2019,"hev",5.64908122858226,0,0,3709.72067039106,0,0,895,41.6368592488853,NA,0.0234154405299256,14031807.4721221,164280.47669542,5366.16410552925,0.771657751220537,"low"
5,2019,"icev",9.98088825826501,0,0,3811.71341653293,0,0,41747,23.5660388047353,NA,0.957848818805323,14031807.4721221,6720175.10643792,5366.16410552925,0.771657751220537,"low"
5,2019,"phev",6.5416296149406,2.56868502462646,0.619359756097561,3325.60975609756,41.5731707317073,0,164,35.9558724423648,91.568252917348,0.0050290755612873,14031807.4721221,35283.5100193688,5366.16410552925,0.771657751220537,"low"
6,2018,"bev",0,2.01904006279203,0,3634.65909090909,251.604166666667,0,528,NA,116.495954852297,0.0119606053604436,13849665.4310316,82825.1912973734,5201.88540067167,0.773989742565539,"low"
6,2018,"hev",5.76297973391299,0,0,3654.96957403651,0,0,986,40.8139557763628,NA,0.0195288239371534,13849665.4310316,135233.838895548,5201.88540067167,0.773989742565539,"low"
6,2018,"icev",10.2393708040279,0,0,4030.33677151292,0,0,54874,22.9711380222186,NA,0.96135466728281,13849665.4310316,6657220.25121381,5201.88540067167,0.773989742565539,"low"
6,2018,"phev",6.65312657189286,2.58699121114095,0.62390031152648,3579.7507788162,40.6604361370716,0,321,35.3533030611021,90.9202934231324,0.00715590341959335,13849665.4310316,49553.4341090714,5201.88540067167,0.773989742565539,"low"
7,2017,"bev",0,2.06061023873724,0,3079.04761904762,174.819047619048,0,105,NA,114.145797967178,0.00606389646567233,13632163.9807981,41332.0154913137,5039.8658526994,0.776321733910541,"low"
7,2017,"hev",5.6830034199464,0,0,3540.12789768185,0,0,1251,41.3883263160553,NA,0.0210590215309616,13632163.9807981,143540.017392613,5039.8658526994,0.776321733910541,"low"
7,2017,"icev",10.1929804069834,0,0,3887.92997453087,0,0,68318,23.075684501351,NA,0.967584992165283,13632163.9807981,6595138.6392782,5039.8658526994,0.776321733910541,"low"
7,2017,"phev",5.94527327480917,2.45805644641273,0.565852417302799,3310.68702290076,32.5089058524173,0,393,39.5625212043007,95.6894217556573,0.00529208983808253,13632163.9807981,36071.3182369282,5039.8658526994,0.776321733910541,"low"
8,2016,"bev",0,2.0770721856553,0,2603.84615384615,84.1923076923077,0,26,NA,113.241129328297,0.0049394042940942,13373173.3988881,33027.7550560671,4880.10546161242,0.778653725255543,"low"
8,2016,"hev",5.70022151542543,0,0,3368.45513413506,0,0,1081,41.2633086913369,NA,0.0197590409476622,13373173.3988881,132120.540394408,4880.10546161242,0.778653725255543,"low"
8,2016,"icev",10.0588066575748,0,0,3926.29749734611,0,0,68767,23.383489513925,NA,0.971150691952845,13373173.3988881,6493683.29996777,4880.10546161242,0.778653725255543,"low"
8,2016,"phev",7.01672867706331,3.01814845833658,0.47458275862069,3609.19540229885,23.6896551724138,0,87,33.5213189543538,77.9318854744584,0.00415086280539894,13373173.3988881,27755.1040257975,4880.10546161242,0.778653725255543,"low"
9,2015,"bev",0,2.0645828787864,0,2919.58762886598,83.2577319587629,0,97,NA,113.926160299392,0.00406730769230769,13065956.4862333,26571.6326619072,4722.60422741074,0.780985716600545,"low"
9,2015,"hev",5.59362577576151,0,0,3314.85429992893,0,0,1407,42.0496489091601,NA,0.0220009157509158,13065956.4862333,143731.503929376,4722.60422741074,0.780985716600545,"low"
9,2015,"icev",10.3169092334895,0,0,3925.35489076836,0,0,66922,22.7984946534656,NA,0.971473042582418,13065956.4862333,6346612.25096528,4722.60422741074,0.780985716600545,"low"
9,2015,"phev",6.3399459359512,2.50741725122868,0.563127272727273,2972.72727272727,33.5,0,110,37.0996854509787,93.8056878585893,0.00245873397435897,13065956.4862333,16062.8555600989,4722.60422741074,0.780985716600545,"low"
10,2014,"bev",0,2.07093176448859,0,2802.46913580247,82.1234567901235,0,81,NA,113.57689520885,0.00384627028336159,12703369.8295967,24430.2969370649,4567.36215009436,0.783317707945548,"low"
10,2014,"hev",5.74318212290075,0,0,3340.97954122753,0,0,1613,40.954647609399,NA,0.0273778154516832,12703369.8295967,173895.257404589,4567.36215009436,0.783317707945548,"low"
10,2014,"icev",10.6561429425728,0,0,3931.99246640805,0,0,71148,22.0727144209284,NA,0.965424194720271,12703369.8295967,6132070.29398607,4567.36215009436,0.783317707945548,"low"
10,2014,"phev",6.19825206270955,2.52132751053763,0.553741780821918,3020.54794520548,29.6917808219178,0,146,37.94779522038,93.2881583280888,0.00335171954468394,12703369.8295967,21289.0664706037,4567.36215009436,0.783317707945548,"low"
11,2013,"bev",0,2.0951718034493,0,3166.79389312977,76.3167938931298,0,262,NA,112.262870096272,0.00308453052847614,12278232.1150722,18936.2908973281,4414.37922966327,0.78564969929055,"low"
11,2013,"hev",5.72459843438037,0,0,3385.83722645685,0,0,4067,41.0875981426738,NA,0.0317813622370446,12278232.1150722,195109.471239811,4414.37922966327,0.78564969929055,"low"
11,2013,"icev",10.5217933952805,0,0,3842.95139796185,0,0,122464,22.35455413005,NA,0.961990956900975,12278232.1150722,5905774.13071527,4414.37922966327,0.78564969929055,"low"
11,2013,"phev",5.999796288261,2.48322698207024,0.53673381294964,3021.22302158273,28.3201438848921,0,556,39.2029976851387,94.7194926997402,0.00314315033350436,12278232.1150722,19296.1646836665,4414.37922966327,0.78564969929055,"low"
12,2012,"bev",0,2.39469554669448,0,3360,82.6058823529412,0,170,NA,98.2212541901923,0.00100641644818546,11783913.5494652,5929.76221008864,4263.65546611748,0.787981690635552,"low"
12,2012,"hev",5.71798349341387,0,0,3295.20624303233,0,0,3588,41.1351309899585,NA,0.0299881330205602,11783913.5494652,176688.783512072,4263.65546611748,0.787981690635552,"low"
12,2012,"icev",10.6958910178791,0,0,4087.4821794623,0,0,118543,21.9906877890608,NA,0.966343383469022,11783913.5494652,5693653.44494833,4263.65546611748,0.787981690635552,"low"
12,2012,"phev",5.71167526544402,2.50773010799754,0.492107142857143,3008.03571428571,24.9107142857143,0,336,41.1805624565239,93.793984946737,0.00266206706223265,11783913.5494652,15684.7840621142,4263.65546611748,0.787981690635552,"low"
13,2011,"bev",0,2.37585858585859,0,3300,73,0,97,NA,98.9999999999998,0.000789794960087651,11215189.7229674,4428.85015981322,4115.19085945699,0.790313681980554,"low"
13,2011,"hev",5.82164269759807,0,0,3330.3738317757,0,0,2354,40.4026856710125,NA,0.0210321646580059,11215189.7229674,117939.858462113,4115.19085945699,0.790313681980554,"low"
13,2011,"icev",11.3733756484432,0,0,4235.4433062522,0,0,113240,20.6807554125055,NA,0.977577711691971,11215189.7229674,5481859.75278487,4115.19085945699,0.790313681980554,"low"
13,2011,"phev",6.35702702702703,2.52913978494624,0.64,2800,35,0,52,37,92.9999999999999,0.000600328689935827,11215189.7229674,3366.40007688537,4115.19085945699,0.790313681980554,"low"
14,2010,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,10569367.012447,0,3968.98540968179,0.792645673325556,"low"
14,2010,"hev",5.53703239321273,0,0,3423.18562874252,0,0,4175,42.4794336201318,NA,0.0236990249374407,10569367.012447,125241.846200473,3968.98540968179,0.792645673325556,"low"
14,2010,"icev",11.1004055290438,0,0,4107.29127087291,0,0,100010,21.189315956483,NA,0.976272844939166,10569367.012447,5159293.00122392,3968.98540968179,0.792645673325556,"low"
14,2010,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81301233928726e-05,10569367.012447,148.658799122346,3968.98540968179,0.792645673325556,"low"
15,2009,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9847613.76467134,0,3825.0391167919,0.794977664670558,"low"
15,2009,"hev",6.63125803813454,0,0,3672.42751563388,0,0,1759,35.4698910293299,NA,0.027514028436019,9847613.76467134,135473.76257405,3825.0391167919,0.794977664670558,"low"
15,2009,"icev",11.3610900500329,0,0,4017.11352371961,0,0,84740,20.7031190637662,NA,0.972485971563981,9847613.76467134,4788333.11976162,3825.0391167919,0.794977664670558,"low"
15,2009,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9847613.76467134,0,3825.0391167919,0.794977664670558,"low"
16,2008,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9056318.99845746,0,3683.35198078729,0.79730965601556,"low"
16,2008,"hev",6.51556688557797,0,0,3750.09120758847,0,0,2741,36.0996984806696,NA,0.0237415789473684,9056318.99845746,107505.656237215,3683.35198078729,0.79730965601556,"low"
16,2008,"icev",12.0861636954527,0,0,4174.55516752246,0,0,120551,19.4610966661403,NA,0.976258421052632,9056318.99845746,4420653.84299152,3683.35198078729,0.79730965601556,"low"
16,2008,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9056318.99845746,0,3683.35198078729,0.79730965601556,"low"
17,2007,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8208165.6569466,0,3543.92400166799,0.799641647360562,"low"
17,2007,"hev",6.35936656105566,0,0,3572.72383830752,0,0,2647,36.9863881475885,NA,0.0216309919901417,8208165.6569466,88775.3827895841,3543.92400166799,0.799641647360562,"low"
17,2007,"icev",11.9828160938817,0,0,4218.01365104018,0,0,122335,19.6289418244595,NA,0.978369008009858,8208165.6569466,4015307.44568372,3543.92400166799,0.799641647360562,"low"
17,2007,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8208165.6569466,0,3543.92400166799,0.799641647360562,"low"
18,2006,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7322497.46169995,0,3406.75517943398,0.801973638705564,"low"
18,2006,"hev",6.88218466909418,0,0,4005.15132002576,0,0,1553,34.1766475776591,NA,0.0153015795868773,7322497.46169995,56022.8888424544,3406.75517943398,0.801973638705564,"low"
18,2006,"icev",12.4191752207621,0,0,4302.52430585968,0,0,114170,18.9392609266662,NA,0.984698420413123,7322497.46169995,3605225.84200752,3406.75517943398,0.801973638705564,"low"
18,2006,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7322497.46169995,0,3406.75517943398,0.801973638705564,"low"
19,2005,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6424554.92111438,0,3271.84551408527,0.804305630050566,"low"
19,2005,"hev",5.82723423401843,0,0,3313.09523809524,0,0,1260,40.3639171782186,NA,0.0121174808711006,6424554.92111438,38924.7106809694,3271.84551408527,0.804305630050566,"low"
19,2005,"icev",12.6705102991597,0,0,4287.02870508186,0,0,117575,18.5635775076556,NA,0.987882519128899,6424554.92111438,3173352.74987622,3271.84551408527,0.804305630050566,"low"
19,2005,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6424554.92111438,0,3271.84551408527,0.804305630050566,"low"
20,2004,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5543334.21323288,0,3139.19500562186,0.806637621395568,"low"
20,2004,"hev",5.3677962531834,0,0,3119.03669724771,0,0,436,43.8187272589767,NA,0.00499899109792285,5543334.21323288,13855.5391923812,3139.19500562186,0.806637621395568,"low"
20,2004,"icev",12.6974055439412,0,0,4330.13853881444,0,0,110294,18.5242567220541,NA,0.995001008902077,5543334.21323288,2757811.56742406,3139.19500562186,0.806637621395568,"low"
20,2004,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5543334.21323288,0,3139.19500562186,0.806637621395568,"low"
21,2003,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4708204.0113911,0,3008.80365404374,0.80896961274057,"low"
21,2003,"hev",5.79640065028725,0,0,2763.25088339223,0,0,283,40.5786304623963,NA,0.00285338932213557,4708204.0113911,6717.16952626961,3008.80365404374,0.80896961274057,"low"
21,2003,"icev",12.6725620152825,0,0,4285.53538653389,0,0,113871,18.5605720229538,NA,0.997146610677864,4708204.0113911,2347384.83616928,3008.80365404374,0.80896961274057,"low"
21,2003,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4708204.0113911,0,3008.80365404374,0.80896961274057,"low"
22,2002,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3944910.49835282,0,2880.67145935092,0.811301604085572,"low"
22,2002,"hev",5.67025097891211,0,0,2681.81818181818,0,0,132,41.481409001957,NA,0.00214535714285714,3944910.49835282,4231.62095778667,2880.67145935092,0.811301604085572,"low"
22,2002,"icev",12.8732237292599,0,0,4276.74962677057,0,0,109852,18.2712586176363,NA,0.997854642857143,3944910.49835282,1968223.62821862,2880.67145935092,0.811301604085572,"low"
22,2002,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3944910.49835282,0,2880.67145935092,0.811301604085572,"low"
23,2001,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3271997.82841699,0,2754.7984215434,0.813633595430574,"low"
23,2001,"hev",5.60092719306223,0,0,2558.76288659794,0,0,97,41.9948326218828,NA,0.00117576811594203,3271997.82841699,1923.55536104213,2754.7984215434,0.813633595430574,"low"
23,2001,"icev",12.7474974760367,0,0,4250.02422969753,0,0,99052,18.4514647241278,NA,0.998824231884058,3271997.82841699,1634075.35884745,2754.7984215434,0.813633595430574,"low"
23,2001,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3271997.82841699,0,2754.7984215434,0.813633595430574,"low"
24,2000,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2698709.32285617,0,2631.18454062117,0.815965586775576,"low"
24,2000,"hev",4.43792452830189,0,0,1500,0,0,35,53,NA,0.000537047673750718,2698709.32285617,724.66778198464,2631.18454062117,0.815965586775576,"low"
24,2000,"icev",12.4781923369196,0,0,4203.31561245525,0,0,92170,18.8496854070823,NA,0.999462952326249,2698709.32285617,1348629.9936461,2631.18454062117,0.815965586775576,"low"
24,2000,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2698709.32285617,0,2631.18454062117,0.815965586775576,"low"
25,1999,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2224974.59919439,0,2509.82981658425,0.818297578120578,"low"
25,1999,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01190476190476e-06,2224974.59919439,1.12573119602097,2509.82981658425,0.818297578120578,"low"
25,1999,"icev",12.6277765722375,0,0,4185.76495095454,0,0,75848,18.6263986105928,NA,0.999998988095238,2224974.59919439,1112486.173866,2509.82981658425,0.818297578120578,"low"
25,1999,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2224974.59919439,0,2509.82981658425,0.818297578120578,"low"
26,1998,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1843292.67291646,0,2390.73424943261,0.82062956946558,"low"
26,1998,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1843292.67291646,0,2390.73424943261,0.82062956946558,"low"
26,1998,"icev",12.6617740447615,0,0,2790.24556194718,0,0,64668,18.576385834125,NA,1,1843292.67291646,921646.336458232,2390.73424943261,0.82062956946558,"low"
26,1998,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1843292.67291646,0,2390.73424943261,0.82062956946558,"low"
27,1997,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1541635.39796531,0,2273.89783916628,0.822961560810582,"low"
27,1997,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1541635.39796531,0,2273.89783916628,0.822961560810582,"low"
27,1997,"icev",12.6317935269378,0,0,2968.35501540568,0,0,58420,18.6204753504247,NA,1,1541635.39796531,770817.698982653,2273.89783916628,0.822961560810582,"low"
27,1997,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1541635.39796531,0,2273.89783916628,0.822961560810582,"low"
28,1996,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1306317.87764308,0,2159.32058578524,0.825293552155584,"low"
28,1996,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1306317.87764308,0,2159.32058578524,0.825293552155584,"low"
28,1996,"icev",12.5400931524426,0,0,2823.79058267039,0,0,46510,18.7566389771343,NA,1,1306317.87764308,653158.938821538,2159.32058578524,0.825293552155584,"low"
28,1996,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1306317.87764308,0,2159.32058578524,0.825293552155584,"low"
29,1995,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1124121.45497303,0,2047.0024892895,0.827625543500586,"low"
29,1995,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1124121.45497303,0,2047.0024892895,0.827625543500586,"low"
29,1995,"icev",12.8322554455687,0,0,3024.34804786296,0,0,47051,18.3295914734322,NA,1,1124121.45497303,562060.727486513,2047.0024892895,0.827625543500586,"low"
29,1995,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1124121.45497303,0,2047.0024892895,0.827625543500586,"low"
30,1994,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,983474.094963168,0,1936.94354967906,0.829957534845588,"low"
30,1994,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,983474.094963168,0,1936.94354967906,0.829957534845588,"low"
30,1994,"icev",12.7031542054536,0,0,2892.86830042765,0,0,39051,18.5158737897571,NA,1,983474.094963168,491737.047481584,1936.94354967906,0.829957534845588,"low"
30,1994,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,983474.094963168,0,1936.94354967906,0.829957534845588,"low"
31,1993,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,874862.128435958,0,1829.14376695391,0.83228952619059,"low"
31,1993,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,874862.128435958,0,1829.14376695391,0.83228952619059,"low"
31,1993,"icev",12.4152222400288,0,0,2879.23112128147,0,0,32775,18.94529114764,NA,1,874862.128435958,437431.064217979,1829.14376695391,0.83228952619059,"low"
31,1993,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,874862.128435958,0,1829.14376695391,0.83228952619059,"low"
