scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,ghg_cost_x_n,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,bev,50.0,0.0,1975.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,50.0,0.0,1975.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,icev,50.0,855.8075990128832,1975.0,high,,,,,,,,,,,,,,2396261.277236073,,,,,,,,,,
default,0,phev,50.0,0.0,1975.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,1.0,3309.087223718258,2024.0,low,,,,,,,,,,,,,,9265444.226411123,,,,,,,,,,
default,0,hev,1.0,3676.7635819091806,2024.0,low,,,,,,,,,,,,,,10294938.029345706,,,,,,,,,,
default,0,icev,1.0,29046.432297082498,2024.0,low,,,,,,,,,,,,,,81330010.43183099,,,,,,,,,,
default,0,phev,1.0,735.3527163818351,2024.0,low,,,,,,,,,,,,,,2058987.6058691381,,,,,,,,,,
default,0,bev,2.0,3089.2420079960198,2023.0,low,,,,,,,,,,,,,,8649877.622388855,,,,,,,,,,
default,0,hev,2.0,3309.9021514243054,2023.0,low,,,,,,,,,,,,,,9267726.023988055,,,,,,,,,,
default,0,icev,2.0,36960.57402423808,2023.0,low,,,,,,,,,,,,,,103489607.26786661,,,,,,,,,,
default,0,phev,2.0,772.3105019990049,2023.0,low,,,,,,,,,,,,,,2162469.4055972137,,,,,,,,,,
default,0,bev,3.0,3018.6531377460437,2022.0,low,,,,,,,,,,,,,,8452228.785688922,,,,,,,,,,
default,0,hev,3.0,3071.61196472404,2022.0,low,,,,,,,,,,,,,,8600513.501227312,,,,,,,,,,
default,0,icev,3.0,45809.385335970655,2022.0,low,,,,,,,,,,,,,,128266278.94071783,,,,,,,,,,
default,0,phev,3.0,1059.176539560016,2022.0,low,,,,,,,,,,,,,,2965694.3107680446,,,,,,,,,,
default,0,bev,4.0,1943.3513739167115,2021.0,low,,,,,,,,,,,,,,5441383.846966792,,,,,,,,,,
default,0,hev,4.0,3379.7003237702243,2021.0,low,,,,,,,,,,,,,,9463160.906556629,,,,,,,,,,
default,0,icev,4.0,57460.23947753571,2021.0,low,,,,,,,,,,,,,,160888670.5371,,,,,,,,,,
default,0,phev,4.0,733.7153301412396,2021.0,low,,,,,,,,,,,,,,2054402.9243954709,,,,,,,,,,
default,0,bev,5.0,1247.3577379813878,2020.0,low,,,,,,,,,,,,,,3492601.666347886,,,,,,,,,,
default,0,hev,5.0,2379.6065387355393,2020.0,low,,,,,,,,,,,,,,6662898.30845951,,,,,,,,,,
default,0,icev,5.0,72122.02151966594,2020.0,low,,,,,,,,,,,,,,201941660.25506464,,,,,,,,,,
default,0,phev,5.0,361.0665064554226,2020.0,low,,,,,,,,,,,,,,1010986.2180751832,,,,,,,,,,
default,0,bev,6.0,1248.2799566266283,2019.0,low,,,,,,,,,,,,,,3495183.8785545593,,,,,,,,,,
default,0,hev,6.0,2132.4680269383102,2019.0,low,,,,,,,,,,,,,,5970910.475427269,,,,,,,,,,
default,0,icev,6.0,87232.2678760838,2019.0,low,,,,,,,,,,,,,,244250350.05303463,,,,,,,,,,
default,0,phev,6.0,458.00303546695966,2019.0,low,,,,,,,,,,,,,,1282408.4993074872,,,,,,,,,,
default,0,bev,7.0,1300.724489595992,2018.0,low,,,,,,,,,,,,,,3642028.5708687776,,,,,,,,,,
default,0,hev,7.0,2123.773737412383,2018.0,low,,,,,,,,,,,,,,5946566.464754673,,,,,,,,,,
default,0,icev,7.0,104548.01586027598,2018.0,low,,,,,,,,,,,,,,292734444.4087727,,,,,,,,,,
default,0,phev,7.0,778.2096760613769,2018.0,low,,,,,,,,,,,,,,2178987.0929718553,,,,,,,,,,
default,0,bev,8.0,785.2460483196304,2017.0,low,,,,,,,,,,,,,,2198688.9352949653,,,,,,,,,,
default,0,hev,8.0,2727.0441591934537,2017.0,low,,,,,,,,,,,,,,7635723.64574167,,,,,,,,,,
default,0,icev,8.0,125297.70186749507,2017.0,low,,,,,,,,,,,,,,350833565.2289862,,,,,,,,,,
default,0,phev,8.0,685.300723096371,2017.0,low,,,,,,,,,,,,,,1918842.0246698388,,,,,,,,,,
default,0,bev,9.0,758.7342645226386,2016.0,low,,,,,,,,,,,,,,2124455.940663388,,,,,,,,,,
default,0,hev,9.0,3035.155761398627,2016.0,low,,,,,,,,,,,,,,8498436.131916156,,,,,,,,,,
default,0,icev,9.0,149176.9578126054,2016.0,low,,,,,,,,,,,,,,417695481.8752951,,,,,,,,,,
default,0,phev,9.0,637.6076243757403,2016.0,low,,,,,,,,,,,,,,1785301.348252073,,,,,,,,,,
default,0,bev,10.0,737.3757467530311,2015.0,low,,,,,,,,,,,,,,2064652.090908487,,,,,,,,,,
default,0,hev,10.0,3988.6192312825974,2015.0,low,,,,,,,,,,,,,,11168133.847591273,,,,,,,,,,
